5* - Probability of getting at least constellation X
+-------+--------+--------+--------+--------+--------+--------+--------+
| Pulls |   C0   |   C1   |   C2   |   C3   |   C4   |   C5   |   C6   |
+-------+--------+--------+--------+--------+--------+--------+--------+
|   50  | 0.1480 | 0.0107 | 0.0005 | 0.0000 | 0.0000 | 0.0000 | 0.0000 |
|  100  | 0.6376 | 0.0888 | 0.0065 | 0.0004 | 0.0000 | 0.0000 | 0.0000 |
|  150  | 0.8291 | 0.2634 | 0.0380 | 0.0038 | 0.0003 | 0.0000 | 0.0000 |
|  200  | 1.0000 | 0.5866 | 0.1531 | 0.0223 | 0.0023 | 0.0002 | 0.0000 |
|  250  | 1.0000 | 0.8764 | 0.3737 | 0.0816 | 0.0116 | 0.0013 | 0.0001 |
|  300  | 1.0000 | 0.9562 | 0.5994 | 0.2060 | 0.0432 | 0.0065 | 0.0008 |
|  350  | 1.0000 | 1.0000 | 0.8294 | 0.4133 | 0.1218 | 0.0242 | 0.0037 |
|  400  | 1.0000 | 1.0000 | 0.9592 | 0.6450 | 0.2615 | 0.0691 | 0.0133 |
|  450  | 1.0000 | 1.0000 | 0.9890 | 0.8151 | 0.4476 | 0.1595 | 0.0396 |
|  500  | 1.0000 | 1.0000 | 1.0000 | 0.9347 | 0.6541 | 0.3038 | 0.0964 |
|  550  | 1.0000 | 1.0000 | 1.0000 | 0.9866 | 0.8226 | 0.4849 | 0.1964 |
|  600  | 1.0000 | 1.0000 | 1.0000 | 0.9972 | 0.9226 | 0.6652 | 0.3399 |
|  650  | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.9764 | 0.8176 | 0.5116 |
|  700  | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.9956 | 0.9182 | 0.6802 |
|  750  | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.9992 | 0.9690 | 0.8163 |
|  800  | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.9916 | 0.9115 |
|  850  | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.9985 | 0.9647 |
|  900  | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.9998 | 0.9881 |
|  950  | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.9971 |
|  1000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.9995 |
|  1050 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.9999 |
|  1080 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 |
+-------+--------+--------+--------+--------+--------+--------+--------+
